# Pathway	SampleCoenzyme_A_Biosynthesis_Abundance
UNMAPPED	10595.3047906640
UNINTEGRATED	43299.1411895433
UNINTEGRATED|unclassified	43299.1411895433
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	23789.5891559968
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	23789.5891559968
PANTO-PWY: phosphopantothenate biosynthesis I	22920.8030206497
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	22920.8030206497
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	19869.2410837571
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	19869.2410837571
COA-PWY: coenzyme A biosynthesis I	16217.9802249297
COA-PWY: coenzyme A biosynthesis I|unclassified	16217.9802249297
PWY-6654: phosphopantothenate biosynthesis III	252.4880160184
PWY-6654: phosphopantothenate biosynthesis III|unclassified	252.4880160184